places,state,type,rating,description,best_time_to_visit,avg_accommodation_cost/day(Rs)
Araku Valley,andhra-pradesh,Adventure,4.8,"Araku Valley is a comparatively unexplored hill station mostly visited by locals as a weekend getaway and is situated some 120 kilometres away from Vishakhapatnam. If you're a tourist looking for exclusivity and tranquillity, Vistadome train leaves Vishakhapatnam at 6.50 AM, making way through 58 tu...",September to February,5480.2
Visakhapatnam,andhra-pradesh,Beach,4.4,"Visakhapatnam, also commonly known as Vizag, is one of the oldest port cities in the country. Situated in the heart of Andhra Pradesh, Vizag was announced as the state capital of Andhra Pradesh on January 31, 2023. The city is known for its picturesque beaches and serene landscape, as well as a...",September to March,3630.07
Amaravathi,andhra-pradesh,Religious,4.9,"Known as the Capital of Andhra Pradesh, Amaravathi is a planned city on the banks of the River Krishna. Amaravathi is renowned for being a site of a Buddhist Stupa that is a semi-hemispherical structure containing Buddhist relics and often called the Abode of God.",November to March,2246.98
Gandikota,andhra-pradesh,Historical,4.5,"Endearingly known as the ‘Grand Canyon of India’, Gandikota is a small and quaint village in the Kadapa district of Andhra Pradesh. Flanked by River Pennar on the right side, the village is famous for the spectacular gorges formed by the river cutting through Erramala Hills. The narrow valleys with ...",November to February,3118.42
Anantapur,andhra-pradesh,Historical,3.5,"Anantapuram is the headquarters of Anantapur District in the Indian state of Andhra Pradesh. Anantapuram is not a cosmopolitan city. Neither is it a village. It is one of those towns in transition, that is at the confluence of the past and the future. Anantapuram reverberates with flashes of In...",September to March,3092.95
Srisailam,andhra-pradesh,Religious,4.2,"Srisailam, a hill town in Kurnool district of Andhra Pradesh is home to the holy Malikarjuna Jyotirlinga and also as one of the eighteen Shakti Peethas of goddess Parvati. Situated on the banks of river Krishna, Srisailam is identified with a wildlife sanctuary and a dam.",September to March,5970.67
Ananthagiri Hills,andhra-pradesh,Adventure,4.3,"Set amid the Eastern Ghats, Ananthagiri Hills is a beautiful retreat 90km away from Hyderabad city. One of the earliest human habitat areas, Ananthagiri is a hill town of ancient caves, temples, medieval fort palaces that showcases the history of the area.",November to February,3797.06
Kurnool,andhra-pradesh,Historical,4.6,"A place of much historical value with beautiful surrounding areas, Kurnool, is a small town in Andhra Pradesh where much of history left its imprints. The city also is known as The Gateway of Rayalaseema.",October to February,2778.08
Guntur,andhra-pradesh,Historical,4.7,"Known as the Land of Chillies, Guntur is famous for its massive chilli market yard in Asia. It is the third most populous town in Andhra Pradesh located at a distance of 30kms from the newly coined capital Amaravathi.",October to March,1772.22
Nellore,andhra-pradesh,Historical,4.7,"Nellore is a beautiful city lying on the banks of River Penna, a Municipal Corporation in the South Indian state of Andhra Pradesh. Anciently known as Vikrama Simhapuri, it derived its name from ""Nelluru"", a combination of Tamil words ""Nel"" and ""Ooru"" where Nel stands for Paddy and Ooru means Place.",December to February,2780.38
Lepakshi,andhra-pradesh,Historical,4.2,"Lepakshi is a small quaint village with a trail of several great kingdoms that once ruled the area. Located in the Anantpur district of Andhra Pradesh, Lepakshi is located at a distance of 120 km from Bangalore making it a great choice for one day trip. Founded in 1535 AD by Maharaja Aliya Rama Raya...",October to March,3118.42
Rajahmundry,andhra-pradesh,Historical,4.5,"Located on the banks of River Godavari in Andhra Pradesh, and officially known Rajamahendravaram, Rajahmundry is the biggest city of the East and the West Godavari District in the state. Touted to be one of the oldest cities in India, Rajahmundry was founded in the 19th century by the Chalukya King-...",October to February,3118.42
Horsley Hills,andhra-pradesh,Adventure,4.1,"Located near the southwestern border between Andhra Pradesh and Karnataka, Horsley Hills refers to a hill station that is the perfect amalgam of the charms of Andhra Pradesh and the beauty of the hills. It is thus often called, the Ooty of Andhra. This natural marvel is situated at an astonishing he...",September to February,3797.06
Rollapadu Wildlife Sanctuary,andhra-pradesh,Adventure,4.2,"A wildlife sanctuary spread across an area of 614sq kms in the Kurnool district of Andhra Pradesh, Rollapadu offers its visitors a journey into the wild, close to nature, amidst a number of diverse species of flora and fauna. Established in 1988, Rollapadu is especially known for being the home to t...",October to March,3797.06
Lambasingi,andhra-pradesh,Adventure,4.7,"Fondly called the ‘Kashmir of Andhra Pradesh’, Lambasingi is a quaint hamlet nestled in Chintapalli Mandal in the richly forested Arakku Valley at an elevation of 1025 m above the sea level. On of the best kept secrets of Andhra Pradesh, the dainty village is known for its majestic hills, apple orch...",September to February,3797.06
Chittoor,andhra-pradesh,Historical,4.2,"Steeped in religion, devotion and architecture, Chittoor is a place that everyone should visit at least once in their lifetime.",October to March,2187.47
Borra Caves,andhra-pradesh,Historical,4.1,"Located on the east coast of India, the Borra Caves are situated in the Ananthagiri hills of the Araku Valley in Visakhapatnam district. Breath taking hilly terrain, beautiful landscape, semi-evergreen moist deciduous forests, and wild fauna of the Borra Caves are a visual feast.",October to March,3118.42
Bhavani Island,andhra-pradesh,Beach,5.0,"Bhavani island is one of the largest islands on a river and is located over the Krishna river at Vijayawada. The vast expanse of the island proves to be the perfect place for a relaxing weekend. If you are one for adventure sports and water slides, this is an exhilarating place to visit! It is named...",November to February,3474.9
Machilipatnam,andhra-pradesh,Beach,3.7,"The port town of Machelipatnam nestled on the banks of River Krishna is one of the most popular tourist attractions of South India. Steeped in rich historical past, the town still reflects the footprint of several foreign invaders in the country.",July to March,3474.9
Kakinada,andhra-pradesh,Beach,5.0,"A city with a perfect blend of cosmopolitan lifestyle and old-world charm, Kakinada in Andhra Pradesh is blessed with the best of both the cultures. One side showcases the rich cultural heritage, while the other side will leave you in awe of its success in industrialization and architectural grandeu...",October to March,4122.55
Konaseema,andhra-pradesh,Beach,3.9,"Surrounded by the tributaries of the River Godavari and the magnificent Bay of Bengal itself, Konaseema is the delta-ic region in the East Godavari district of Andhra Pradesh. The area has properties matching those of the resplendent Kerala Backwaters and so it has also come to be called as ‘God’s o...",Throughout the year,4283.23
Srikalahasti,andhra-pradesh,Religious,4.8,"Located in the Chittoor district of Andhra Pradesh, the holy city of Srikalahasti is a popular tourist destination due to its famous Srikalahasti temple. It is one of the most important Shiva temples of South India built during the ancient Pallava dynasty. With vibrant yesteryear, this place ha...",September to February,2920.58
Mantralayam,andhra-pradesh,Religious,4.3,"Mantralayam is a holy town situated 74 km from Kurnool district in Andhra Pradesh and 250 km from its state capital, Hyderabad. It is located near the border of Karnataka and on the banks of the river Tungabhadra. Mantralayam is known for Sri Guru Raghavendra Swami, a saint who entere...",October to March,3188.83
Annavaram,andhra-pradesh,Religious,5.0,"Located in the East Godavari district of Andhra Pradesh, Annavaram is a small hamlet on the banks of river Pampa. It is on the hilltop of Ratnagiri, at a distance of 142 kilometres from Hyderabad. The temple village is famous for its shrine of Sri Veera Venkata Satyanarayana Swamy, a form of the Hin...",October to March,5643.09
Vizianagaram,andhra-pradesh,Historical,4.0,"Lying close to the coastline of the Bay of Bengal on the Eastern Ghats, Vizianagaram is a city in the state of Andhra Pradesh. Deriving its name from the princely district of Vizianagaram, the name of the city means 'City of Victory'. Bounded by Vishakhapatnam on the west and south, and the Bay of B...",October to March,4998.37
Nagarjunakonda,andhra-pradesh,Historical,4.2,"A Buddhist town that flaunts age-old tools, Buddhist stupas, statues, monasteries and scriptures; Nagarjunakonda is one of the famous Buddhist pilgrimage sites in India. Located 150km from Hyderabad, near the Nagarjuna Sagar Reservoir, the town is believed to have been existed for almost 1800 years....",March - June; September - October,3118.42
Yaganti,andhra-pradesh,Religious,4.1,"Yaganti, in the Kurnool district of Andhra Pradesh in India, is a popular tourist site that is famous for its temple of Sri Yagantiswamy, which is dedicated to Lord Shiva and is the perfect way to get a feel of the Andhra Pradesh tourism. Also known as Uma Maheshwara Temple, the ancient Sri Yag...",September - November ; March - May,3229.855
Rushikonda Beach,andhra-pradesh,Beach,4.0,"The Rushikonda Beach is a stunning shore located on the coast of the Bay of Bengal in Vishakhapatnam, in the Indian state of Andhra Pradesh. APTDC, which is in charge of this natural beauty, has done a great job in the upkeep of the beach and ensured that this natural attraction remains unspoil...",October to March,3474.9
Coringa Wildlife Sanctuary,andhra-pradesh,Adventure,4.0,"Merely 22km away from the Kakinada Beach, Coringa is a Wildlife Sanctuary as well as an estuary. It is home to as many as 35 species of mangrove plants, 120 species of rare birds and innumerable species of flora. This sanctuary is also famous for being home to the critically endangered white-backed&...",October to March,3797.06
Maredumilli,andhra-pradesh,Adventure,3.5,"Part of one of the premium eco-tourism projects of the country, Maredumilli is a terrain of undulating plains, evergreen forests and rich biodiversity. Located in the East Godavari district of Andhra Pradesh, which is known for its rivers, ravines and lush greeneries, Maredumilli is a paradise for t...",April to October,3797.06
Draksharamam,andhra-pradesh,Religious,3.5,"Located on the eastern bank of Godavari, Draksharamam Temple is one of the five most powerful and prominent temples dedicated to Lord Shiva in the country. 40kms away from Rajahmundry, the temple architecture dates back to 11th century. Draksharamam is perfect for a religious pilgrimage, the scenery...",October to March,3229.855
Oravakallu Rock Garden,andhra-pradesh,Historical,3.4,"There are a few ordinary landscapes in Kurnool. One fascinating stretch is a park with igneous rock formations. Find here a restaurant, small ponds, boating facilities and a cave museum. A less ordinary hiking area and a bit unusual picnic spot, this one, is a must visit area in Kurnool.",November to March,3118.42
Ahobilam Temple,andhra-pradesh,Religious,4.8,Ahobilam is a small village renowned for Lord Narasimha Swamy Temple. The Ahobilam temple is dedicated to Lord Lakshmi Narasimha Swamy. The temple complex has temples of Adi Lakshmi Devi Temple and Chenchu Lakshmi Devi. It is the only temple where all the nine forms of the deity are worshipped. Ahob...,October to May,3229.855
Rayadurg,andhra-pradesh,Historical,4.6,"Built at the height of 2,727 feet above the sea level, Rayadurg is a town packed to the brim with monuments harbouring rich cultural heritage. Located at the Karnataka border, this small town draws tourists from all over the country.",Throughout the year,3118.42
Kaigal Falls,andhra-pradesh,Adventure,4.3,"Situated in the district of Chittoor, Andhra Pradesh, the Kaigal fall is nestled amidst the Koundinya Wildlife sanctuary. The Kaigal waterfall derives its name from the village Kaigal, that surrounds it.",March to June,3797.06
Tadipatri,andhra-pradesh,Historical,4.2,"Ancient temples with relics from centuries back in await you within the temples of Tadipatri. Built during the golden years of the Vijaynagar Empire, this retreat situated on the Western side of Andhra Pradesh is guaranteed to leave any visitor enchanted.",December to February,3118.42
